"year","species","stock","pe","B","B_lwr","B_upr","F","F_lwr","F_upr"
1977,"Skate","3LNO",0.00440919881591219,264.422793037253,96.4008089880419,725.299032358692,0.00687157101371369,0.00250517361658552,0.0188483895423055
1978,"Skate","3LNO",-1.10412464964571,225.03125359032,86.9325970977487,582.509516372685,0.00813664755800285,0.00314329628707481,0.0210622949403109
1979,"Skate","3LNO",0.389198814749231,247.141691710396,97.4008391951953,627.089214899593,0.00420406606756384,0.00165686153630686,0.010667259220609
1980,"Skate","3LNO",0.258347301090571,261.922093034493,104.788267253617,654.68381735458,0.00526110640013299,0.00210483284216214,0.0131503271894444
1981,"Skate","3LNO",0.0558908400426929,268.702846848271,107.731661181441,670.194992934942,0.00636762885123488,0.00255298833628573,0.0158820534394094
1982,"Skate","3LNO",0.0111839385299239,273.702824033019,113.766941022435,658.47982911729,0.00295210691688926,0.00122706871838906,0.00710223895218085
1983,"Skate","3LNO",0.730080273414633,314.429298098524,130.113172428966,759.84453885102,0.00407404783125079,0.00168587116772206,0.00984527527909868
1984,"Skate","3LNO",0.762606784213953,357.779128442673,150.589583604273,850.031600363403,0.00562637627511171,0.00236814725374846,0.0133674584378284
1985,"Skate","3LNO",0.798870542014104,401.685579659463,174.797871337559,923.073625964056,0.025888407566973,0.0112656235727018,0.0594915711525919
1986,"Skate","3LNO",-0.237282701650715,367.238174427912,161.382176560972,835.680120513137,0.0390182747812693,0.0171465129399052,0.0887892350031994
1987,"Skate","3LNO",0.227520136524148,360.787279045485,157.484231520113,826.542819332489,0.0512656655992247,0.0223775460476896,0.117446679083155
1988,"Skate","3LNO",-0.168418890913565,327.271174460173,139.216982382782,769.348823680494,0.0573408276208686,0.024392056531945,0.134796773201148
1989,"Skate","3LNO",-0.970566468278564,267.261576830881,112.36193753955,635.702374080075,0.0532923593764949,0.0224051389152212,0.126760007097481
1990,"Skate","3LNO",-1.0126823594795,229.01398330636,97.4404168029315,538.251028378891,0.0644938784381636,0.0274407278783738,0.151579811382289
1991,"Skate","3LNO",-1.38345028968306,189.26517805705,80.1562882726092,446.893293051941,0.150096284438741,0.0635677474727691,0.354407628050157
1992,"Skate","3LNO",-2.78133788930807,118.996380330734,49.623573493012,285.351044575836,0.0431693803267159,0.0180023872267086,0.103519348535498
1993,"Skate","3LNO",-1.22453571716732,109.594910606812,46.7869021350037,256.718095937561,0.0553857835769127,0.0236446128888255,0.129737164099581
1994,"Skate","3LNO",-2.24272965514812,85.6695516247231,37.5438671077731,195.485245420059,0.0951913468127289,0.0417167033884144,0.217212573669897
1995,"Skate","3LNO",-1.67780655331251,71.445640184161,32.0156663970881,159.436928096829,0.102511503586802,0.0459366602670116,0.22876300337344
1996,"Skate","3LNO",1.09384245341954,91.9347538297215,41.2342013339903,204.975449706705,0.0665471951046016,0.0298474768990828,0.148371977680499
1997,"Skate","3LNO",0.395890265699788,108.214707939955,48.9453161748437,239.255232772377,0.111519036827195,0.0504398581387821,0.246560875342809
1998,"Skate","3LNO",-0.385347940028451,107.030408203277,47.8299498060189,239.50491954559,0.0888906261287031,0.0397236099285593,0.198913024968359
1999,"Skate","3LNO",1.25559569575825,139.546425412525,62.054284285309,313.809192543111,0.0855987529934095,0.0380645318360423,0.192492752717606
2000,"Skate","3LNO",0.262256916663837,152.916569066021,68.1676167527021,343.029112778779,0.11952269209041,0.0532811919429909,0.268118512435386
2001,"Skate","3LNO",-0.108460389067369,151.518874698999,66.4007602700325,345.748592285505,0.0980801898741805,0.0429820983558146,0.223807678399534
2002,"Skate","3LNO",-1.02187294090475,132.463408214895,58.5248975030223,299.81350270626,0.0887414883733769,0.039207707104229,0.200854687518128
2003,"Skate","3LNO",-0.0535718116688833,136.901205137959,60.5394631488236,309.582196362601,0.104184619745508,0.0460717708175128,0.235598389185207
2004,"Skate","3LNO",-0.286896458603191,133.972379925559,58.7078130321367,305.727596650435,0.0882868543991843,0.0386880351318889,0.201472332030582
2005,"Skate","3LNO",0.643988166113907,153.946997308794,65.8514792335155,359.895909040288,0.0229819357431397,0.00983062021859198,0.0537269631780619
2006,"Skate","3LNO",-0.329766666642581,159.42002908463,69.2472249146927,367.01464505839,0.0345251473833198,0.0149966767651038,0.0794833295742972
2007,"Skate","3LNO",0.856613189121257,196.068445216145,85.1484267729183,451.480275871677,0.031677713326859,0.0137569686472092,0.0729432149881532
2008,"Skate","3LNO",-0.217437659746729,200.047477032197,87.7519813914896,456.046603533767,0.0355415629603551,0.0155905119014301,0.0810238115112184
2009,"Skate","3LNO",-1.29693547935539,170.147527670892,75.4111713406328,383.897778775358,0.0336237621452006,0.0149024045365673,0.0758640914640909
2010,"Skate","3LNO",-0.136397598666299,174.643088386207,77.1341810251004,395.417542725286,0.0307140697611692,0.0135654072478181,0.0695411545013292
2011,"Skate","3LNO",0.0181017810919091,184.253371136082,82.024655318934,413.891465230872,0.0301107109508594,0.0134044803192675,0.0676381994953575
2012,"Skate","3LNO",0.489537140056913,207.653641200493,92.2673005859202,467.338205734863,0.0208472145009019,0.00926309885833728,0.0469180302502596
2013,"Skate","3LNO",0.560925607670038,234.836900224513,103.815524384122,531.215057037198,0.0184979447260927,0.00817747905006354,0.0418434528532265
2014,"Skate","3LNO",-0.341213832809361,226.718171676838,99.5318722732306,516.428840275244,0.0197161081837388,0.00865559715374842,0.044910237272832
2015,"Skate","3LNO",-1.03671188943037,196.748514954317,86.7798288511586,446.071150971303,0.0169048289933587,0.00745620960413549,0.0383268789997803
2016,"Skate","3LNO",-0.995307309998991,174.973007125837,78.0048960725512,392.482456411239,0.0198944971980537,0.00886918623530181,0.0446254039844163
2017,"Skate","3LNO",0.583185254146446,201.15399391221,89.3427146579154,452.895677300183,0.0206906157767686,0.00918975430459098,0.0465846601587594
2018,"Skate","3LNO",0.1757944295143,214.118082304387,95.5242498280535,479.946749147292,0.000602471302804851,0.000268779818238566,0.00135044242935384
1977,"Witch","3LNO",0.00476109288951316,114.217327590253,75.9256280618401,171.820744258234,0.0588264507825287,0.0391047078104948,0.0884944935131454
1978,"Witch","3LNO",-1.0371275261415,97.1083517256564,65.4409181543677,144.099933815559,0.0409439551732143,0.0275919627075547,0.0607570937593061
1979,"Witch","3LNO",0.533347776425589,100.702533351656,67.9090970282662,149.331984479491,0.0393138073912707,0.0265114001785981,0.0582985221899228
1980,"Witch","3LNO",0.391763934730976,101.622114641297,67.9694459967129,151.936712632149,0.0266280623026942,0.017810047046045,0.0398120061200862
1981,"Witch","3LNO",0.152042469155545,101.350382932131,66.7942846323588,153.784117563756,0.0303205563816944,0.0199825576833446,0.0460069303371395
1982,"Witch","3LNO",0.106160697882684,100.291320469792,67.0367646001848,150.042279360642,0.0435331789386006,0.0290984649033881,0.0651284414759474
1983,"Witch","3LNO",0.742134413653904,104.929530659958,68.1198931867118,161.629824849267,0.0390452523158331,0.0253480445445064,0.0601439580765403
1984,"Witch","3LNO",0.769025116102455,109.488888102613,69.7248357353842,171.930367300426,0.0316653138056415,0.0201651404253785,0.0497240325263406
