"Year","Region","Species","Landings (kt)"
1977,"2HJ3KLNO","Roundnose Grenadier",12.789
1977,"2HJ3KLNO","Silver Hake",0.03
1977,"2HJ3KLNO","Skate spp.",2.279
1977,"2HJ3KLNO","White Hake",3.147
1977,"2HJ3KLNO","Witch Flounder",14.145
1977,"2HJ3KLNO","Wolffish spp.",2.788
1977,"2HJ3KLNO","Yellowtail Flounder",11.639
1978,"2HJ3KLNO","American Plaice",53.549
1978,"2HJ3KLNO","Atlantic Cod",158.131
1978,"2HJ3KLNO","Atlantic Halibut",0.243
1978,"2HJ3KLNO","Greenland Halibut",36.643
1978,"2HJ3KLNO","Haddock",0.486
1978,"2HJ3KLNO","Monkfish",0.254
1978,"2HJ3KLNO","Red Hake",0
1978,"2HJ3KLNO","Redfish spp.",48.02
1978,"2HJ3KLNO","Roughhead Grenadier",0
1978,"2HJ3KLNO","Roundnose Grenadier",17.59
1978,"2HJ3KLNO","Silver Hake",0.154
1978,"2HJ3KLNO","Skate spp.",2.007
1978,"2HJ3KLNO","White Hake",2.604
1978,"2HJ3KLNO","Witch Flounder",10.38
1978,"2HJ3KLNO","Wolffish spp.",1.837
1978,"2HJ3KLNO","Yellowtail Flounder",15.47
1979,"2HJ3KLNO","American Plaice",51.534
1979,"2HJ3KLNO","Atlantic Cod",197.004
1979,"2HJ3KLNO","Atlantic Halibut",0.36
1979,"2HJ3KLNO","Greenland Halibut",33.515
1979,"2HJ3KLNO","Haddock",0.861
1979,"2HJ3KLNO","Monkfish",0.003
1979,"2HJ3KLNO","Red Hake",0
1979,"2HJ3KLNO","Redfish spp.",62.52
1979,"2HJ3KLNO","Roughhead Grenadier",0
1979,"2HJ3KLNO","Roundnose Grenadier",6.746
1979,"2HJ3KLNO","Silver Hake",0.043
1979,"2HJ3KLNO","Skate spp.",1.164
1979,"2HJ3KLNO","White Hake",1.592
1979,"2HJ3KLNO","Witch Flounder",7.177
1979,"2HJ3KLNO","Wolffish spp.",1.936
1979,"2HJ3KLNO","Yellowtail Flounder",18.351
1980,"2HJ3KLNO","American Plaice",54.126
1980,"2HJ3KLNO","Atlantic Cod",198.389
1980,"2HJ3KLNO","Atlantic Halibut",0.308
1980,"2HJ3KLNO","Greenland Halibut",32.69
1980,"2HJ3KLNO","Haddock",0.183
1980,"2HJ3KLNO","Monkfish",0
1980,"2HJ3KLNO","Red Hake",0.011
1980,"2HJ3KLNO","Redfish spp.",47.853
1980,"2HJ3KLNO","Roughhead Grenadier",0
1980,"2HJ3KLNO","Roundnose Grenadier",1.742
1980,"2HJ3KLNO","Silver Hake",0.048
1980,"2HJ3KLNO","Skate spp.",1.569
1980,"2HJ3KLNO","White Hake",2.639
1980,"2HJ3KLNO","Witch Flounder",5.243
1980,"2HJ3KLNO","Wolffish spp.",1.769
1980,"2HJ3KLNO","Yellowtail Flounder",12.378
1981,"2HJ3KLNO","American Plaice",57.703
1981,"2HJ3KLNO","Atlantic Cod",198.736
1981,"2HJ3KLNO","Atlantic Halibut",0.219
1981,"2HJ3KLNO","Greenland Halibut",28.952
1981,"2HJ3KLNO","Haddock",0.125
1981,"2HJ3KLNO","Monkfish",0.091
1981,"2HJ3KLNO","Red Hake",0
1981,"2HJ3KLNO","Redfish spp.",54.502
1981,"2HJ3KLNO","Roughhead Grenadier",0
1981,"2HJ3KLNO","Roundnose Grenadier",6.118
1981,"2HJ3KLNO","Silver Hake",0.101
1981,"2HJ3KLNO","Skate spp.",1.875
1981,"2HJ3KLNO","White Hake",1.718
1981,"2HJ3KLNO","Witch Flounder",6.624
1981,"2HJ3KLNO","Wolffish spp.",2.347
1981,"2HJ3KLNO","Yellowtail Flounder",14.683
1982,"2HJ3KLNO","American Plaice",52.237
1982,"2HJ3KLNO","Atlantic Cod",274.887
1982,"2HJ3KLNO","Atlantic Halibut",0.501
1982,"2HJ3KLNO","Greenland Halibut",25.907
1982,"2HJ3KLNO","Haddock",0.967
1982,"2HJ3KLNO","Monkfish",0.058
1982,"2HJ3KLNO","Red Hake",0.003
1982,"2HJ3KLNO","Redfish spp.",50.89
1982,"2HJ3KLNO","Roughhead Grenadier",0
1982,"2HJ3KLNO","Roundnose Grenadier",3.625
1982,"2HJ3KLNO","Silver Hake",0.013
1982,"2HJ3KLNO","Skate spp.",0.949
1982,"2HJ3KLNO","White Hake",1.962
1982,"2HJ3KLNO","Witch Flounder",6.714
1982,"2HJ3KLNO","Wolffish spp.",2.732
1982,"2HJ3KLNO","Yellowtail Flounder",12.249
1983,"2HJ3KLNO","American Plaice",39.353
1983,"2HJ3KLNO","Atlantic Cod",263.539
1983,"2HJ3KLNO","Atlantic Halibut",0.409
1983,"2HJ3KLNO","Greenland Halibut",27.743
1983,"2HJ3KLNO","Haddock",0.553
1983,"2HJ3KLNO","Monkfish",0.005
1983,"2HJ3KLNO","Red Hake",0.021
1983,"2HJ3KLNO","Redfish spp.",42.198
1983,"2HJ3KLNO","Roughhead Grenadier",0
1983,"2HJ3KLNO","Roundnose Grenadier",3.427
1983,"2HJ3KLNO","Silver Hake",0
1983,"2HJ3KLNO","Skate spp.",1.711
1983,"2HJ3KLNO","White Hake",2.923
1983,"2HJ3KLNO","Witch Flounder",6.709
1983,"2HJ3KLNO","Wolffish spp.",3.129
1983,"2HJ3KLNO","Yellowtail Flounder",9.254
1984,"2HJ3KLNO","American Plaice",37.238
1984,"2HJ3KLNO","Atlantic Cod",261.064
1984,"2HJ3KLNO","Atlantic Halibut",0.899
1984,"2HJ3KLNO","Greenland Halibut",24.616
1984,"2HJ3KLNO","Haddock",2.855
1984,"2HJ3KLNO","Monkfish",0.074
1984,"2HJ3KLNO","Red Hake",0.015
1984,"2HJ3KLNO","Redfish spp.",48.429
1984,"2HJ3KLNO","Roughhead Grenadier",0
1984,"2HJ3KLNO","Roundnose Grenadier",3.743
1984,"2HJ3KLNO","Silver Hake",0.247
1984,"2HJ3KLNO","Skate spp.",2.315
1984,"2HJ3KLNO","White Hake",4.343
1984,"2HJ3KLNO","Witch Flounder",7.63
1984,"2HJ3KLNO","Wolffish spp.",1.481
1984,"2HJ3KLNO","Yellowtail Flounder",12.566
1985,"2HJ3KLNO","American Plaice",48.834
1985,"2HJ3KLNO","Atlantic Cod",268.737
1985,"2HJ3KLNO","Atlantic Halibut",1.695
1985,"2HJ3KLNO","Greenland Halibut",18.453
1985,"2HJ3KLNO","Haddock",4.014
1985,"2HJ3KLNO","Monkfish",0.111
1985,"2HJ3KLNO","Red Hake",0.024
1985,"2HJ3KLNO","Redfish spp.",57.992
1985,"2HJ3KLNO","Roughhead Grenadier",0
1985,"2HJ3KLNO","Roundnose Grenadier",4.93
1985,"2HJ3KLNO","Silver Hake",1.78
1985,"2HJ3KLNO","Skate spp.",10.63
1985,"2HJ3KLNO","White Hake",6.22
1985,"2HJ3KLNO","Witch Flounder",11.778
1985,"2HJ3KLNO","Wolffish spp.",1.507
1985,"2HJ3KLNO","Yellowtail Flounder",21.472
1986,"2HJ3KLNO","American Plaice",60.467
1986,"2HJ3KLNO","Atlantic Cod",317.852
1986,"2HJ3KLNO","Atlantic Halibut",1.503
1986,"2HJ3KLNO","Greenland Halibut",15.435
1986,"2HJ3KLNO","Haddock",7.341
1986,"2HJ3KLNO","Monkfish",0.55
1986,"2HJ3KLNO","Red Hake",0.006
1986,"2HJ3KLNO","Redfish spp.",80.279
1986,"2HJ3KLNO","Roughhead Grenadier",0.003
1986,"2HJ3KLNO","Roundnose Grenadier",7.416
1986,"2HJ3KLNO","Silver Hake",0.759
1986,"2HJ3KLNO","Skate spp.",14.499
1986,"2HJ3KLNO","White Hake",4.744
1986,"2HJ3KLNO","Witch Flounder",13.049
1986,"2HJ3KLNO","Wolffish spp.",1.725
1986,"2HJ3KLNO","Yellowtail Flounder",22.957
1987,"2HJ3KLNO","American Plaice",54.52
1987,"2HJ3KLNO","Atlantic Cod",281.662
1987,"2HJ3KLNO","Atlantic Halibut",1.535
1987,"2HJ3KLNO","Greenland Halibut",28.411
1987,"2HJ3KLNO","Haddock",5.66
1987,"2HJ3KLNO","Monkfish",1.821
1987,"2HJ3KLNO","Red Hake",0
1987,"2HJ3KLNO","Redfish spp.",102.822
1987,"2HJ3KLNO","Roughhead Grenadier",0.994
1987,"2HJ3KLNO","Roundnose Grenadier",7.216
1987,"2HJ3KLNO","Silver Hake",0.397
1987,"2HJ3KLNO","Skate spp.",19.543
1987,"2HJ3KLNO","White Hake",8.238
1987,"2HJ3KLNO","Witch Flounder",12.071
1987,"2HJ3KLNO","Wolffish spp.",2.211
1987,"2HJ3KLNO","Yellowtail Flounder",16.234
1988,"2HJ3KLNO","American Plaice",39.881
1988,"2HJ3KLNO","Atlantic Cod",312.323
1988,"2HJ3KLNO","Atlantic Halibut",1.173
1988,"2HJ3KLNO","Greenland Halibut",17.099
1988,"2HJ3KLNO","Haddock",8.247
1988,"2HJ3KLNO","Monkfish",0.445
1988,"2HJ3KLNO","Red Hake",0.006
1988,"2HJ3KLNO","Redfish spp.",63.592
